threshold,cal_sens,cal_spec,test_sens,test_spec
0.0,1.0,0.0,1.0,0.0
0.0005,1.0,0.4409,0.9964,0.1032
0.001,1.0,0.4409,0.9964,0.1032
0.0015,1.0,0.4409,0.9964,0.1032
0.002,1.0,0.4409,0.9964,0.1032
0.0025,1.0,0.4409,0.9964,0.1032
0.003,1.0,0.4409,0.9964,0.1032
0.0035,1.0,0.4409,0.9964,0.1032
0.004,1.0,0.4409,0.9964,0.1032
0.0045,1.0,0.8079,0.9893,0.3038
0.005,1.0,0.8079,0.9893,0.3038
0.0055,1.0,0.8079,0.9893,0.3039
0.006,1.0,0.8079,0.9893,0.3039
0.0065,1.0,0.8079,0.9893,0.3039
0.007,1.0,0.8079,0.9893,0.3039
0.0075,1.0,0.8079,0.9893,0.3039
0.008,1.0,0.8079,0.9893,0.3039
0.0085,1.0,0.8079,0.9893,0.3039
0.009,1.0,0.8079,0.9893,0.3039
0.0095,1.0,0.8079,0.9893,0.3039
0.01,1.0,0.8079,0.9893,0.3039
0.0105,1.0,0.8079,0.9893,0.3039
0.011,1.0,0.8079,0.9893,0.3039
0.0115,1.0,0.8079,0.9893,0.3039
0.012,1.0,0.8079,0.9893,0.3039
0.0125,1.0,0.8079,0.9893,0.3039
0.013,1.0,0.8079,0.9893,0.3039
0.0135,1.0,0.8079,0.9893,0.3039
0.014,1.0,0.8079,0.9893,0.3039
0.0145,1.0,0.8079,0.9893,0.3039
0.015,1.0,0.8079,0.9893,0.3039
0.0155,1.0,0.8079,0.9893,0.3039
0.016,1.0,0.8079,0.9893,0.3039
0.0165,1.0,0.8079,0.9893,0.3039
0.017,1.0,0.8448,0.9893,0.3261
0.0175,1.0,0.8448,0.9893,0.3261
0.018,1.0,0.8448,0.9893,0.3261
0.0185,1.0,0.8448,0.9893,0.3265
0.019,1.0,0.8448,0.9893,0.3265
0.0195,1.0,0.8448,0.9893,0.3265
0.02,1.0,0.8448,0.9893,0.3265
0.0205,1.0,0.8448,0.9893,0.3265
0.021,1.0,0.8448,0.9893,0.3265
0.0215,1.0,0.8448,0.9893,0.3265
0.022,1.0,0.8448,0.9893,0.3265
0.0225,1.0,0.8448,0.9893,0.3267
0.023,1.0,0.8695,0.9893,0.3618
0.0235,1.0,0.8719,0.9893,0.3618
0.024,1.0,0.9039,0.9839,0.4261
0.0245,1.0,0.9039,0.9839,0.4261
0.025,0.9924,0.9754,0.941,0.5827
0.0255,0.9924,0.9754,0.941,0.5827
0.026,0.9924,0.9754,0.941,0.5827
0.0265,0.9924,0.9754,0.941,0.5829
0.027,0.9924,0.9754,0.941,0.5829
0.0275,0.9924,0.9754,0.941,0.5829
0.028,0.9924,0.9754,0.941,0.5829
0.0285,0.9924,0.9754,0.941,0.5829
0.029,0.9924,0.9754,0.941,0.5829
0.0295,0.9924,0.9754,0.941,0.5831
0.03,0.9924,0.9754,0.941,0.5831
0.0305,0.9924,0.9754,0.941,0.5831
0.031,0.9924,0.9754,0.941,0.5838
0.0315,0.9924,0.9754,0.941,0.5838
0.032,0.9924,0.9754,0.941,0.5838
0.0325,0.868,1.0,0.8569,0.8128
0.033,0.868,1.0,0.8569,0.8128
0.0335,0.868,1.0,0.8569,0.8128
0.034,0.868,1.0,0.8569,0.8128
0.0345,0.868,1.0,0.8569,0.8128
0.035,0.868,1.0,0.8569,0.8128
0.0355,0.868,1.0,0.8569,0.8128
0.036,0.868,1.0,0.8569,0.8128
0.0365,0.868,1.0,0.8569,0.8128
0.037,0.868,1.0,0.8569,0.8128
0.0375,0.868,1.0,0.8569,0.8128
0.038,0.868,1.0,0.8569,0.8128
0.0385,0.868,1.0,0.8569,0.8128
0.039,0.868,1.0,0.8569,0.8128
0.0395,0.868,1.0,0.8569,0.8128
0.04,0.868,1.0,0.8569,0.8128
0.0405,0.868,1.0,0.8569,0.8128
0.041,0.868,1.0,0.8569,0.8128
0.0415,0.868,1.0,0.8569,0.8128
0.042,0.868,1.0,0.8569,0.8128
0.0425,0.868,1.0,0.8569,0.8128
0.043,0.868,1.0,0.8569,0.8128
0.0435,0.868,1.0,0.8569,0.8128
0.044,0.868,1.0,0.8569,0.8128
0.0445,0.868,1.0,0.8569,0.8128
0.045,0.868,1.0,0.8569,0.8128
0.0455,0.868,1.0,0.8569,0.8128
0.046,0.868,1.0,0.8569,0.8128
0.0465,0.868,1.0,0.8569,0.8128
0.047,0.868,1.0,0.8569,0.8128
0.0475,0.868,1.0,0.8569,0.8128
0.048,0.868,1.0,0.8569,0.8128
0.0485,0.868,1.0,0.8569,0.8128
0.049,0.868,1.0,0.8569,0.8128
0.0495,0.868,1.0,0.8569,0.8128
0.05,0.868,1.0,0.8569,0.8128
0.0505,0.868,1.0,0.8569,0.8128
0.051,0.868,1.0,0.8569,0.813
0.0515,0.868,1.0,0.8569,0.813
0.052,0.868,1.0,0.8569,0.813
0.0525,0.868,1.0,0.8569,0.813
0.053,0.868,1.0,0.8569,0.813
0.0535,0.868,1.0,0.8569,0.8132
0.054,0.868,1.0,0.8569,0.8132
0.0545,0.868,1.0,0.8569,0.8132
0.055,0.8579,1.0,0.8354,0.8383
0.0555,0.8579,1.0,0.8354,0.8383
0.056,0.8579,1.0,0.8354,0.8383
0.0565,0.8579,1.0,0.8354,0.8383
0.057,0.8579,1.0,0.8354,0.8383
0.0575,0.8579,1.0,0.8354,0.8383
0.058,0.8579,1.0,0.8354,0.8383
0.0585,0.8579,1.0,0.8354,0.8383
0.059,0.8579,1.0,0.8354,0.8383
0.0595,0.8579,1.0,0.8354,0.8383
0.06,0.8579,1.0,0.8354,0.8383
0.0605,0.8579,1.0,0.8354,0.8383
0.061,0.8579,1.0,0.8354,0.8383
0.0615,0.8579,1.0,0.8354,0.8383
0.062,0.8579,1.0,0.8354,0.8383
0.0625,0.8579,1.0,0.8354,0.8383
0.063,0.8579,1.0,0.8354,0.8383
0.0635,0.8579,1.0,0.8354,0.8383
0.064,0.8579,1.0,0.8354,0.8385
0.0645,0.8579,1.0,0.8354,0.8385
0.065,0.8579,1.0,0.8354,0.8385
0.0655,0.8579,1.0,0.8354,0.8385
0.066,0.8579,1.0,0.8354,0.8385
0.0665,0.8579,1.0,0.8354,0.8389
0.067,0.8579,1.0,0.8354,0.8389
0.0675,0.8579,1.0,0.8354,0.8389
0.068,0.8579,1.0,0.8354,0.8389
0.0685,0.8579,1.0,0.8354,0.8391
0.069,0.8579,1.0,0.8354,0.8393
0.0695,0.8579,1.0,0.8354,0.8393
0.07,0.8579,1.0,0.8354,0.8395
0.0705,0.8579,1.0,0.8354,0.8397
0.071,0.8579,1.0,0.8354,0.8397
0.0715,0.8579,1.0,0.8354,0.8397
0.072,0.8579,1.0,0.8354,0.8397
0.0725,0.8579,1.0,0.8354,0.8397
0.073,0.8579,1.0,0.8354,0.8397
0.0735,0.8579,1.0,0.8354,0.8397
0.074,0.8579,1.0,0.8354,0.8397
0.0745,0.8579,1.0,0.8354,0.8397
0.075,0.8579,1.0,0.8354,0.8397
0.0755,0.8579,1.0,0.8354,0.8397
0.076,0.8579,1.0,0.8354,0.8398
0.0765,0.8579,1.0,0.8354,0.8398
0.077,0.8579,1.0,0.8354,0.8398
0.0775,0.8579,1.0,0.8354,0.8398
0.078,0.8579,1.0,0.8354,0.8398
0.0785,0.8579,1.0,0.8354,0.8398
0.079,0.8579,1.0,0.8354,0.8398
0.0795,0.8579,1.0,0.8354,0.8398
0.08,0.8579,1.0,0.8354,0.8398
0.0805,0.8579,1.0,0.8354,0.8398
0.081,0.8579,1.0,0.8354,0.8398
0.0815,0.8579,1.0,0.8354,0.84
0.082,0.8579,1.0,0.8354,0.84
0.0825,0.8325,1.0,0.8122,0.8643
0.083,0.8325,1.0,0.8122,0.8643
0.0835,0.8325,1.0,0.8122,0.8643
0.084,0.8325,1.0,0.8122,0.8643
0.0845,0.8325,1.0,0.8122,0.8643
0.085,0.8325,1.0,0.8122,0.8643
0.0855,0.8325,1.0,0.8122,0.8645
0.086,0.8325,1.0,0.8122,0.8647
0.0865,0.8325,1.0,0.8122,0.8648
0.087,0.8325,1.0,0.8122,0.8648
0.0875,0.8325,1.0,0.8122,0.8648
0.088,0.8325,1.0,0.8122,0.8648
0.0885,0.8325,1.0,0.8122,0.865
0.089,0.8325,1.0,0.8122,0.865
0.0895,0.8325,1.0,0.8122,0.865
0.09,0.8325,1.0,0.8122,0.865
0.0905,0.8325,1.0,0.8122,0.865
0.091,0.8325,1.0,0.8122,0.865
0.0915,0.8299,1.0,0.8122,0.865
0.092,0.8299,1.0,0.8122,0.865
0.0925,0.8299,1.0,0.8122,0.865
0.093,0.8299,1.0,0.8122,0.865
0.0935,0.6954,1.0,0.7138,0.9348
0.094,0.6954,1.0,0.7138,0.9348
0.0945,0.6954,1.0,0.7138,0.9348
0.095,0.6954,1.0,0.7138,0.9348
0.0955,0.6954,1.0,0.7138,0.9348
0.096,0.6954,1.0,0.7138,0.935
0.0965,0.6954,1.0,0.7138,0.935
0.097,0.6954,1.0,0.7138,0.935
0.0975,0.6954,1.0,0.7138,0.935
0.098,0.6954,1.0,0.7138,0.935
0.0985,0.6954,1.0,0.7138,0.935
0.099,0.6954,1.0,0.7138,0.935
0.0995,0.6954,1.0,0.7138,0.935
0.1001,0.6954,1.0,0.7138,0.935
0.1006,0.6954,1.0,0.7138,0.935
0.1011,0.6954,1.0,0.7138,0.935
0.1016,0.6954,1.0,0.7138,0.9352
0.1021,0.6954,1.0,0.7138,0.9352
0.1026,0.6954,1.0,0.7138,0.9353
0.1031,0.6954,1.0,0.712,0.9353
0.1036,0.6954,1.0,0.712,0.9353
0.1041,0.6954,1.0,0.712,0.9353
0.1046,0.6954,1.0,0.712,0.9353
0.1051,0.6954,1.0,0.712,0.9353
0.1056,0.6954,1.0,0.712,0.9353
0.1061,0.6954,1.0,0.712,0.9353
0.1066,0.6954,1.0,0.712,0.9353
0.1071,0.6954,1.0,0.712,0.9355
0.1076,0.6954,1.0,0.712,0.9355
0.1081,0.6954,1.0,0.712,0.9355
0.1086,0.6954,1.0,0.712,0.9355
0.1091,0.6954,1.0,0.712,0.9355
0.1096,0.6954,1.0,0.712,0.9355
0.1101,0.6954,1.0,0.712,0.9355
0.1106,0.6954,1.0,0.712,0.9355
0.1111,0.6954,1.0,0.712,0.9355
0.1116,0.6954,1.0,0.712,0.9355
0.1121,0.6954,1.0,0.712,0.9355
0.1126,0.6954,1.0,0.712,0.9355
0.1131,0.6954,1.0,0.712,0.9355
0.1136,0.6954,1.0,0.712,0.9359
0.1141,0.6954,1.0,0.712,0.9359
0.1146,0.6954,1.0,0.712,0.9359
0.1151,0.6954,1.0,0.712,0.9359
0.1156,0.6548,1.0,0.6816,0.9468
0.1161,0.6548,1.0,0.6816,0.9468
0.1166,0.6548,1.0,0.6816,0.9468
0.1171,0.6548,1.0,0.6816,0.9468
0.1176,0.6548,1.0,0.6816,0.9468
0.1181,0.6548,1.0,0.6816,0.9468
0.1186,0.6548,1.0,0.6816,0.9468
0.1191,0.6548,1.0,0.6816,0.9468
0.1196,0.6548,1.0,0.6816,0.9468
0.1201,0.6548,1.0,0.6816,0.9468
0.1206,0.6548,1.0,0.6816,0.9468
0.1211,0.6548,1.0,0.6816,0.9468
0.1216,0.6548,1.0,0.6816,0.9468
0.1221,0.6548,1.0,0.6816,0.9468
0.1226,0.6548,1.0,0.6816,0.9468
0.1231,0.6548,1.0,0.6816,0.9468
0.1236,0.6548,1.0,0.6816,0.9468
0.1241,0.6548,1.0,0.6816,0.9468
0.1246,0.6548,1.0,0.6816,0.9468
0.1251,0.6548,1.0,0.6816,0.9468
0.1256,0.6548,1.0,0.6816,0.9468
0.1261,0.6548,1.0,0.6816,0.9468
0.1266,0.6548,1.0,0.6816,0.9468
0.1271,0.6548,1.0,0.6816,0.9468
0.1276,0.6548,1.0,0.6816,0.9468
0.1281,0.6548,1.0,0.6816,0.9468
0.1286,0.6548,1.0,0.6816,0.9468
0.1291,0.6548,1.0,0.6816,0.9468
0.1296,0.6548,1.0,0.6816,0.9468
0.1301,0.6548,1.0,0.6816,0.9468
0.1306,0.6548,1.0,0.6816,0.9468
0.1311,0.6548,1.0,0.6816,0.9468
0.1316,0.6548,1.0,0.6816,0.9468
0.1321,0.6548,1.0,0.6816,0.9468
0.1326,0.6548,1.0,0.6816,0.9468
0.1331,0.6548,1.0,0.6816,0.9468
0.1336,0.6548,1.0,0.6816,0.9468
0.1341,0.6548,1.0,0.6816,0.9468
0.1346,0.6548,1.0,0.6816,0.9468
0.1351,0.6548,1.0,0.6816,0.9468
0.1356,0.6548,1.0,0.6816,0.9468
0.1361,0.6548,1.0,0.6816,0.9468
0.1366,0.6548,1.0,0.6816,0.9468
0.1371,0.6548,1.0,0.6816,0.9468
0.1376,0.6548,1.0,0.6816,0.9468
0.1381,0.6548,1.0,0.6816,0.9468
0.1386,0.6548,1.0,0.6816,0.9468
0.1391,0.6548,1.0,0.6816,0.9468
0.1396,0.6548,1.0,0.6816,0.9468
0.1401,0.6548,1.0,0.6816,0.9468
0.1406,0.6548,1.0,0.6816,0.9468
0.1411,0.6548,1.0,0.6816,0.9468
0.1416,0.6548,1.0,0.6816,0.9468
0.1421,0.6548,1.0,0.6816,0.9468
0.1426,0.6548,1.0,0.6816,0.9468
0.1431,0.6548,1.0,0.6816,0.9468
0.1436,0.6548,1.0,0.6816,0.9468
0.1441,0.6548,1.0,0.6816,0.9468
0.1446,0.6548,1.0,0.6816,0.9468
0.1451,0.6548,1.0,0.6816,0.9468
0.1456,0.6548,1.0,0.6816,0.9468
0.1461,0.6548,1.0,0.6816,0.9468
0.1466,0.6548,1.0,0.6816,0.9468
0.1471,0.6548,1.0,0.6816,0.9468
0.1476,0.6548,1.0,0.6816,0.9468
0.1481,0.6548,1.0,0.6816,0.9468
0.1486,0.6548,1.0,0.6816,0.9468
0.1491,0.6548,1.0,0.6816,0.9468
0.1496,0.6548,1.0,0.6816,0.9468
0.1501,0.6548,1.0,0.6816,0.9468
0.1506,0.6548,1.0,0.6816,0.9468
0.1511,0.6548,1.0,0.6816,0.9468
0.1516,0.6548,1.0,0.6816,0.9468
0.1521,0.6548,1.0,0.6816,0.9468
0.1526,0.6548,1.0,0.6816,0.9468
0.1531,0.6548,1.0,0.6816,0.9468
0.1536,0.6548,1.0,0.6816,0.9468
0.1541,0.6548,1.0,0.6816,0.9468
0.1546,0.6548,1.0,0.6816,0.9468
0.1551,0.6548,1.0,0.6816,0.9468
0.1556,0.6548,1.0,0.6816,0.9468
0.1561,0.6548,1.0,0.6816,0.9468
0.1566,0.6548,1.0,0.6816,0.9468
0.1571,0.6548,1.0,0.6816,0.9468
0.1576,0.6548,1.0,0.6816,0.9468
0.1581,0.6548,1.0,0.6816,0.9468
0.1586,0.6548,1.0,0.6816,0.9468
0.1591,0.6548,1.0,0.6816,0.9468
0.1596,0.6548,1.0,0.6816,0.9468
0.1601,0.6548,1.0,0.6816,0.9468
0.1606,0.6548,1.0,0.6816,0.9468
0.1611,0.6548,1.0,0.6816,0.9468
0.1616,0.6548,1.0,0.6816,0.9468
0.1621,0.6548,1.0,0.6816,0.9468
0.1626,0.6548,1.0,0.6816,0.9468
0.1631,0.6548,1.0,0.6816,0.9468
0.1636,0.6548,1.0,0.6816,0.9468
0.1641,0.6548,1.0,0.6816,0.9468
0.1646,0.6548,1.0,0.6816,0.9468
0.1651,0.6548,1.0,0.6816,0.9468
0.1656,0.6548,1.0,0.6816,0.9468
0.1661,0.6548,1.0,0.6816,0.9468
0.1666,0.6548,1.0,0.6816,0.947
0.1671,0.6548,1.0,0.6816,0.947
0.1676,0.6548,1.0,0.6816,0.947
0.1681,0.6548,1.0,0.6816,0.947
0.1686,0.6548,1.0,0.6816,0.947
0.1691,0.6548,1.0,0.6816,0.947
0.1696,0.6548,1.0,0.6816,0.947
0.1701,0.6548,1.0,0.6816,0.947
0.1706,0.6548,1.0,0.6816,0.947
0.1711,0.6548,1.0,0.6816,0.947
0.1716,0.6548,1.0,0.6816,0.947
0.1721,0.6548,1.0,0.6816,0.947
0.1726,0.6548,1.0,0.6816,0.947
0.1731,0.6548,1.0,0.6816,0.947
0.1736,0.6548,1.0,0.6816,0.947
0.1741,0.6548,1.0,0.6816,0.947
0.1746,0.6548,1.0,0.6816,0.947
0.1751,0.6548,1.0,0.6816,0.947
0.1756,0.6548,1.0,0.6816,0.947
0.1761,0.6548,1.0,0.6816,0.947
0.1766,0.6548,1.0,0.6816,0.947
0.1771,0.6548,1.0,0.6816,0.947
0.1776,0.6548,1.0,0.6816,0.947
0.1781,0.6548,1.0,0.6816,0.947
0.1786,0.6548,1.0,0.6816,0.947
0.1791,0.6548,1.0,0.6816,0.947
0.1796,0.6548,1.0,0.6816,0.947
0.1801,0.6548,1.0,0.6816,0.947
0.1806,0.6548,1.0,0.6816,0.947
0.1811,0.6548,1.0,0.6816,0.947
0.1816,0.6548,1.0,0.6816,0.947
0.1821,0.6548,1.0,0.6816,0.947
0.1826,0.6548,1.0,0.6816,0.947
0.1831,0.6548,1.0,0.6816,0.947
0.1836,0.6548,1.0,0.6816,0.947
0.1841,0.6548,1.0,0.6816,0.947
0.1846,0.6548,1.0,0.6816,0.947
0.1851,0.6548,1.0,0.6816,0.947
0.1856,0.6548,1.0,0.6816,0.947
0.1861,0.6548,1.0,0.6816,0.947
0.1866,0.6548,1.0,0.6816,0.947
0.1871,0.6548,1.0,0.6816,0.947
0.1876,0.6548,1.0,0.6816,0.947
0.1881,0.6548,1.0,0.6816,0.9472
0.1886,0.6548,1.0,0.6816,0.9472
0.1891,0.6548,1.0,0.6816,0.9472
0.1896,0.6548,1.0,0.6816,0.9472
0.1901,0.6548,1.0,0.6816,0.9472
0.1906,0.6548,1.0,0.6816,0.9472
0.1911,0.6548,1.0,0.6816,0.9472
0.1916,0.6548,1.0,0.6816,0.9472
0.1921,0.6548,1.0,0.6816,0.9472
0.1926,0.6548,1.0,0.6816,0.9474
0.1931,0.6548,1.0,0.6816,0.9474
0.1936,0.6548,1.0,0.6816,0.9474
0.1941,0.6548,1.0,0.6816,0.9474
0.1946,0.6548,1.0,0.6816,0.9474
0.1951,0.6548,1.0,0.6816,0.9474
0.1956,0.6548,1.0,0.6816,0.9474
0.1961,0.6548,1.0,0.6816,0.9474
0.1966,0.6548,1.0,0.6816,0.9474
0.1971,0.6548,1.0,0.6816,0.9474
0.1976,0.6548,1.0,0.6816,0.9474
0.1981,0.6548,1.0,0.6816,0.9474
0.1986,0.6548,1.0,0.6816,0.9474
0.1991,0.6548,1.0,0.6816,0.9474
0.1996,0.6548,1.0,0.6816,0.9474
0.2001,0.6548,1.0,0.6816,0.9474
0.2006,0.6548,1.0,0.6816,0.9474
0.2011,0.6548,1.0,0.6816,0.9474
0.2016,0.6548,1.0,0.6816,0.9474
0.2021,0.6548,1.0,0.6816,0.9474
0.2026,0.6548,1.0,0.6816,0.9474
0.2031,0.6548,1.0,0.6816,0.9474
0.2036,0.6548,1.0,0.6816,0.9474
0.2041,0.6548,1.0,0.6816,0.9474
0.2046,0.6548,1.0,0.6816,0.9474
0.2051,0.6548,1.0,0.6816,0.9474
0.2056,0.6548,1.0,0.6816,0.9474
0.2061,0.6548,1.0,0.6816,0.9474
0.2066,0.6548,1.0,0.6816,0.9474
0.2071,0.6548,1.0,0.6816,0.9474
0.2076,0.6548,1.0,0.6816,0.9474
0.2081,0.6548,1.0,0.6816,0.9474
0.2086,0.6548,1.0,0.6816,0.9474
0.2091,0.6548,1.0,0.6816,0.9474
0.2096,0.6548,1.0,0.6816,0.9474
0.2101,0.6548,1.0,0.6816,0.9474
0.2106,0.6269,1.0,0.6547,0.9541
0.2111,0.6269,1.0,0.6547,0.9543
0.2116,0.6269,1.0,0.6547,0.9543
0.2121,0.6269,1.0,0.6547,0.9543
0.2126,0.6269,1.0,0.6547,0.9543
0.2131,0.6269,1.0,0.6547,0.9543
0.2136,0.6269,1.0,0.6547,0.9543
0.2141,0.6269,1.0,0.6547,0.9543
0.2146,0.6269,1.0,0.6547,0.9543
0.2151,0.6269,1.0,0.6547,0.9543
0.2156,0.6269,1.0,0.6547,0.9543
0.2161,0.6269,1.0,0.6547,0.9543
0.2166,0.6269,1.0,0.6547,0.9543
0.2171,0.6269,1.0,0.6547,0.9543
0.2176,0.6269,1.0,0.6547,0.9543
0.2181,0.6269,1.0,0.6547,0.9543
0.2186,0.6269,1.0,0.6547,0.9543
0.2191,0.6269,1.0,0.6547,0.9543
0.2196,0.6269,1.0,0.6547,0.9543
0.2201,0.6269,1.0,0.6547,0.9543
0.2206,0.6269,1.0,0.6547,0.9543
0.2211,0.6269,1.0,0.6547,0.9543
0.2216,0.6269,1.0,0.6547,0.9543
0.2221,0.6269,1.0,0.6547,0.9543
0.2226,0.6269,1.0,0.6547,0.9543
0.2231,0.6269,1.0,0.6547,0.9543
0.2236,0.6269,1.0,0.6547,0.9543
0.2241,0.6269,1.0,0.6547,0.9543
0.2246,0.6269,1.0,0.6547,0.9543
0.2251,0.6269,1.0,0.6547,0.9543
0.2256,0.6269,1.0,0.6547,0.9543
0.2261,0.6269,1.0,0.6547,0.9543
0.2266,0.6269,1.0,0.6547,0.9543
0.2271,0.6269,1.0,0.6547,0.9543
0.2276,0.6269,1.0,0.6547,0.9543
0.2281,0.6269,1.0,0.6547,0.9543
0.2286,0.6269,1.0,0.6547,0.9543
0.2291,0.6269,1.0,0.6547,0.9543
0.2296,0.6269,1.0,0.6547,0.9543
0.2301,0.6269,1.0,0.6547,0.9543
0.2306,0.6269,1.0,0.6547,0.9543
0.2311,0.6269,1.0,0.6547,0.9543
0.2316,0.6269,1.0,0.6547,0.9543
0.2321,0.6269,1.0,0.6547,0.9543
0.2326,0.6269,1.0,0.6547,0.9543
0.2331,0.6269,1.0,0.6547,0.9543
0.2336,0.6269,1.0,0.6547,0.9543
0.2341,0.6269,1.0,0.6547,0.9543
0.2346,0.6269,1.0,0.6547,0.9543
0.2351,0.6269,1.0,0.6547,0.9543
0.2356,0.6269,1.0,0.6547,0.9543
0.2361,0.6269,1.0,0.6547,0.9543
0.2366,0.6269,1.0,0.6547,0.9543
0.2371,0.6269,1.0,0.6547,0.9543
0.2376,0.6269,1.0,0.6547,0.9543
0.2381,0.6269,1.0,0.6547,0.9543
0.2386,0.6269,1.0,0.6547,0.9543
0.2391,0.6269,1.0,0.6547,0.9543
0.2396,0.6269,1.0,0.6547,0.9543
0.2401,0.6269,1.0,0.6547,0.9543
0.2406,0.6269,1.0,0.6547,0.9543
0.2411,0.6269,1.0,0.6547,0.9543
0.2416,0.6269,1.0,0.6547,0.9543
0.2421,0.6269,1.0,0.6547,0.9543
0.2426,0.6269,1.0,0.6547,0.9543
0.2431,0.6269,1.0,0.6547,0.9545
0.2436,0.6269,1.0,0.6547,0.9545
0.2441,0.6269,1.0,0.6547,0.9545
0.2446,0.6269,1.0,0.6547,0.9545
0.2451,0.6269,1.0,0.6547,0.9545
0.2456,0.6269,1.0,0.6547,0.9545
0.2461,0.6269,1.0,0.6547,0.9545
0.2466,0.6269,1.0,0.6547,0.9545
0.2471,0.6269,1.0,0.6547,0.9545
0.2476,0.6269,1.0,0.6547,0.9545
0.2481,0.6269,1.0,0.6547,0.9545
0.2486,0.6269,1.0,0.6547,0.9545
0.2491,0.6269,1.0,0.6547,0.9545
0.2496,0.6269,1.0,0.6547,0.9545
